Day	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
0	41.697	43.560	45.422	47.285	49.148	51.010	52.873	54.736	56.598
1	41.854	43.720	45.585	47.451	49.317	51.182	53.048	54.914	56.779
2	42.011	43.880	45.748	47.617	49.485	51.354	53.223	55.091	56.960
3	42.166	44.038	45.910	47.782	49.654	51.526	53.398	55.270	57.142
4	42.324	44.199	46.074	47.948	49.823	51.698	53.573	55.448	57.323
5	42.481	44.359	46.237	48.114	49.992	51.870	53.748	55.625	57.503
6	42.639	44.519	46.400	48.280	50.161	52.041	53.922	55.802	57.683
7	42.796	44.680	46.563	48.446	50.330	52.213	54.096	55.980	57.863
8	42.954	44.840	46.726	48.613	50.499	52.385	54.271	56.157	58.043
9	43.112	45.001	46.890	48.779	50.668	52.556	54.445	56.334	58.223
10	43.268	45.160	47.052	48.944	50.836	52.729	54.621	56.513	58.405
11	43.426	45.321	47.216	49.110	51.005	52.900	54.795	56.690	58.585
12	43.584	45.482	47.379	49.277	51.174	53.072	54.969	56.867	58.764
13	43.742	45.642	47.543	49.443	51.343	53.243	55.144	57.044	58.944
14	43.901	45.803	47.706	49.609	51.512	53.415	55.318	57.221	59.123
15	44.027	45.933	47.839	49.745	51.651	53.557	55.463	57.369	59.275
16	44.152	46.061	47.971	49.880	51.790	53.699	55.608	57.518	59.427
17	44.277	46.190	48.102	50.015	51.927	53.840	55.752	57.665	59.577
18	44.400	46.316	48.232	50.148	52.064	53.980	55.896	57.812	59.728
19	44.525	46.444	48.362	50.281	52.200	54.119	56.038	57.957	59.876
20	44.646	46.568	48.491	50.413	52.335	54.258	56.180	58.102	60.024
21	44.769	46.694	48.619	50.544	52.470	54.395	56.320	58.245	60.170
22	44.889	46.817	48.746	50.674	52.603	54.531	56.460	58.388	60.316
23	45.008	46.940	48.872	50.803	52.735	54.667	56.598	58.530	60.462
24	45.127	47.061	48.996	50.931	52.866	54.801	56.736	58.671	60.606
25	45.246	47.184	49.121	51.059	52.996	54.934	56.871	58.809	60.746
26	45.363	47.303	49.244	51.185	53.126	55.066	57.007	58.948	60.888
27	45.479	47.422	49.366	51.310	53.254	55.197	57.141	59.085	61.029
28	45.594	47.540	49.487	51.434	53.381	55.328	57.275	59.221	61.168
29	45.708	47.658	49.608	51.557	53.507	55.457	57.407	59.357	61.306
30	45.822	47.774	49.727	51.680	53.633	55.585	57.538	59.491	61.444
31	45.934	47.890	49.846	51.801	53.757	55.713	57.668	59.624	61.580
32	46.044	48.003	49.962	51.922	53.881	55.840	57.799	59.758	61.717
33	46.155	48.117	50.079	52.041	54.003	55.965	57.927	59.889	61.851
34	46.266	48.231	50.195	52.160	54.125	56.089	58.054	60.019	61.984
35	46.375	48.343	50.310	52.278	54.245	56.213	58.180	60.148	62.115
36	46.482	48.453	50.424	52.394	54.365	56.336	58.307	60.277	62.248
37	46.590	48.564	50.537	52.510	54.484	56.457	58.431	60.404	62.378
38	46.698	48.674	50.650	52.626	54.602	56.578	58.554	60.530	62.506
39	46.802	48.781	50.760	52.740	54.719	56.698	58.677	60.656	62.635
40	46.908	48.890	50.871	52.853	54.835	56.817	58.798	60.780	62.762
41	47.011	48.996	50.980	52.965	54.950	56.935	58.919	60.904	62.889
42	47.115	49.102	51.090	53.077	55.064	57.051	59.039	61.026	63.013
43	47.217	49.207	51.197	53.187	55.178	57.168	59.158	61.148	63.139
44	47.320	49.312	51.305	53.298	55.290	57.283	59.276	61.268	63.261
45	47.420	49.415	51.411	53.407	55.402	57.398	59.393	61.389	63.384
46	47.519	49.518	51.516	53.515	55.513	57.511	59.510	61.508	63.507
47	47.620	49.621	51.621	53.622	55.623	57.624	59.625	61.625	63.626
48	47.718	49.721	51.725	53.729	55.732	57.736	59.739	61.743	63.746
49	47.815	49.822	51.828	53.834	55.841	57.847	59.853	61.860	63.866
50	47.912	49.921	51.930	53.939	55.948	57.957	59.966	61.975	63.985
51	48.010	50.021	52.032	54.044	56.055	58.066	60.077	62.089	64.100
52	48.105	50.119	52.133	54.147	56.161	58.175	60.189	62.203	64.217
53	48.200	50.216	52.233	54.249	56.266	58.283	60.299	62.316	64.332
54	48.294	50.313	52.332	54.351	56.370	58.390	60.409	62.428	64.447
55	48.387	50.409	52.430	54.452	56.474	58.496	60.517	62.539	64.561
56	48.479	50.504	52.528	54.552	56.577	58.601	60.625	62.650	64.674
57	48.571	50.598	52.625	54.652	56.679	58.706	60.732	62.759	64.786
58	48.663	50.692	52.721	54.751	56.780	58.809	60.839	62.868	64.897
59	48.753	50.785	52.817	54.849	56.881	58.912	60.944	62.976	65.008
60	48.844	50.878	52.912	54.946	56.980	59.015	61.049	63.083	65.117
61	48.933	50.970	53.006	55.043	57.080	59.116	61.153	63.189	65.226
62	49.022	51.061	53.100	55.139	57.178	59.217	61.256	63.295	65.334
63	49.111	51.152	53.193	55.235	57.276	59.317	61.359	63.400	65.441
64	49.199	51.242	53.286	55.330	57.373	59.417	61.461	63.504	65.548
65	49.284	51.330	53.377	55.423	57.470	59.516	61.563	63.609	65.656
66	49.371	51.420	53.468	55.517	57.566	59.615	61.663	63.712	65.761
67	49.457	51.508	53.559	55.610	57.661	59.712	61.763	63.814	65.865
68	49.543	51.596	53.650	55.703	57.756	59.809	61.862	63.916	65.969
69	49.628	51.684	53.739	55.795	57.850	59.906	61.961	64.016	66.072
70	49.711	51.769	53.827	55.885	57.944	60.002	62.060	64.118	66.176
71	49.795	51.856	53.916	55.976	58.036	60.097	62.157	64.217	66.278
72	49.879	51.942	54.004	56.066	58.129	60.191	62.254	64.316	66.378
73	49.960	52.025	54.090	56.156	58.221	60.286	62.351	64.416	66.481
74	50.043	52.110	54.177	56.245	58.312	60.379	62.446	64.513	66.580
75	50.125	52.195	54.264	56.333	58.402	60.471	62.541	64.610	66.679
76	50.205	52.277	54.349	56.420	58.492	60.564	62.636	64.708	66.779
77	50.286	52.360	54.434	56.508	58.582	60.655	62.729	64.803	66.877
78	50.365	52.441	54.518	56.594	58.670	60.747	62.823	64.900	66.976
79	50.446	52.524	54.602	56.681	58.759	60.837	62.915	64.994	67.072
80	50.523	52.604	54.685	56.766	58.846	60.927	63.008	65.089	67.170
81	50.603	52.686	54.768	56.851	58.934	61.016	63.099	65.182	67.265
82	50.680	52.765	54.850	56.935	59.020	61.106	63.191	65.276	67.361
83	50.758	52.845	54.932	57.020	59.107	61.194	63.281	65.368	67.455
84	50.834	52.924	55.013	57.103	59.192	61.282	63.371	65.461	67.550
85	50.912	53.003	55.095	57.186	59.277	61.369	63.460	65.551	67.643
86	50.987	53.081	55.175	57.268	59.362	61.456	63.549	65.643	67.737
87	51.062	53.158	55.254	57.350	59.446	61.542	63.638	65.734	67.830
88	51.138	53.236	55.334	57.432	59.530	61.627	63.725	65.823	67.921
89	51.212	53.312	55.412	57.512	59.613	61.713	63.813	65.913	68.013
90	51.288	53.390	55.491	57.593	59.695	61.797	63.899	66.001	68.103
91	51.361	53.465	55.569	57.673	59.777	61.881	63.986	66.090	68.194
92	51.433	53.540	55.646	57.752	59.859	61.965	64.072	66.178	68.285
93	51.508	53.616	55.724	57.832	59.940	62.048	64.156	66.264	68.372
94	51.580	53.690	55.800	57.911	60.021	62.131	64.242	66.352	68.462
95	51.651	53.763	55.876	57.989	60.101	62.214	64.326	66.439	68.551
96	51.722	53.837	55.951	58.066	60.181	62.296	64.411	66.525	68.640
97	51.795	53.911	56.028	58.144	60.260	62.377	64.493	66.609	68.726
98	51.865	53.984	56.102	58.221	60.339	62.458	64.576	66.695	68.813
99	51.935	54.056	56.176	58.297	60.418	62.538	64.659	66.780	68.900
100	52.005	54.127	56.250	58.373	60.496	62.619	64.741	66.864	68.987
101	52.074	54.199	56.324	58.448	60.573	62.698	64.823	66.948	69.073
102	52.145	54.271	56.398	58.524	60.651	62.777	64.903	67.030	69.156
103	52.213	54.342	56.470	58.599	60.727	62.856	64.984	67.113	69.241
104	52.281	54.412	56.542	58.673	60.804	62.934	65.065	67.195	69.326
105	52.349	54.482	56.614	58.747	60.880	63.012	65.145	67.277	69.410
106	52.416	54.551	56.686	58.820	60.955	63.090	65.224	67.359	69.494
107	52.483	54.620	56.757	58.893	61.030	63.167	65.303	67.440	69.577
108	52.550	54.689	56.827	58.966	61.105	63.243	65.382	67.521	69.659
109	52.616	54.757	56.898	59.038	61.179	63.320	65.460	67.601	69.741
110	52.685	54.827	56.969	59.111	61.253	63.395	65.537	67.679	69.821
111	52.750	54.894	57.038	59.182	61.326	63.470	65.614	67.758	69.902
112	52.816	54.961	57.107	59.253	61.399	63.545	65.691	67.837	69.983
113	52.880	55.028	57.176	59.324	61.472	63.620	65.767	67.915	70.063
114	52.945	55.095	57.244	59.394	61.544	63.694	65.843	67.993	70.143
115	53.009	55.161	57.312	59.464	61.616	63.767	65.919	68.070	70.222
116	53.073	55.227	57.380	59.534	61.687	63.840	65.994	68.147	70.301
117	53.137	55.292	57.447	59.603	61.758	63.913	66.069	68.224	70.379
118	53.200	55.357	57.514	59.671	61.829	63.986	66.143	68.300	70.457
119	53.263	55.422	57.581	59.740	61.899	64.058	66.217	68.376	70.535
120	53.325	55.486	57.647	59.808	61.969	64.129	66.290	68.451	70.612
121	53.385	55.548	57.712	59.875	62.038	64.201	66.365	68.528	70.691
122	53.447	55.612	57.777	59.942	62.107	64.272	66.437	68.602	70.767
123	53.508	55.675	57.842	60.009	62.176	64.343	66.509	68.676	70.843
124	53.570	55.738	57.907	60.076	62.244	64.413	66.581	68.750	70.918
125	53.631	55.801	57.971	60.142	62.312	64.482	66.653	68.823	70.993
126	53.691	55.863	58.035	60.207	62.380	64.552	66.724	68.896	71.068
127	53.752	55.925	58.099	60.273	62.447	64.620	66.794	68.968	71.142
128	53.812	55.987	58.163	60.338	62.514	64.689	66.864	69.040	71.215
129	53.871	56.049	58.226	60.403	62.580	64.757	66.934	69.111	71.289
130	53.928	56.108	58.287	60.467	62.646	64.826	67.005	69.184	71.364
131	53.987	56.168	58.350	60.531	62.712	64.893	67.074	69.255	71.436
132	54.046	56.229	58.412	60.594	62.777	64.960	67.143	69.325	71.508
133	54.105	56.289	58.474	60.658	62.842	65.027	67.211	69.395	71.580
134	54.163	56.349	58.535	60.721	62.907	65.093	67.279	69.465	71.651
135	54.218	56.407	58.595	60.783	62.971	65.160	67.348	69.536	71.724
136	54.276	56.466	58.656	60.846	63.035	65.225	67.415	69.605	71.795
137	54.333	56.525	58.716	60.908	63.099	65.291	67.482	69.673	71.865
138	54.391	56.584	58.777	60.970	63.163	65.356	67.549	69.742	71.935
139	54.447	56.642	58.837	61.031	63.226	65.420	67.615	69.809	72.004
140	54.501	56.698	58.895	61.092	63.288	65.485	67.682	69.879	72.075
141	54.558	56.756	58.954	61.153	63.351	65.549	67.747	69.946	72.144
142	54.614	56.814	59.013	61.213	63.413	65.613	67.813	70.013	72.212
143	54.667	56.869	59.071	61.273	63.475	65.677	67.879	70.081	72.283
144	54.723	56.926	59.130	61.333	63.536	65.740	67.943	70.147	72.350
145	54.778	56.983	59.188	61.393	63.598	65.803	68.008	70.213	72.418
146	54.831	57.038	59.245	61.452	63.659	65.866	68.073	70.280	72.487
147	54.886	57.094	59.303	61.511	63.720	65.928	68.137	70.345	72.554
148	54.940	57.150	59.360	61.570	63.780	65.990	68.200	70.410	72.620
149	54.992	57.204	59.416	61.628	63.840	66.052	68.264	70.476	72.688
150	55.046	57.260	59.473	61.687	63.900	66.113	68.327	70.540	72.754
151	55.100	57.315	59.530	61.745	63.960	66.175	68.390	70.604	72.819
152	55.151	57.368	59.585	61.802	64.019	66.236	68.453	70.670	72.887
153	55.205	57.423	59.641	61.860	64.078	66.296	68.515	70.733	72.952
154	55.258	57.478	59.697	61.917	64.137	66.357	68.577	70.796	73.016
155	55.308	57.530	59.752	61.974	64.196	66.417	68.639	70.861	73.083
156	55.361	57.584	59.808	62.031	64.254	66.477	68.700	70.923	73.147
157	55.411	57.636	59.862	62.087	64.312	66.537	68.762	70.988	73.213
158	55.464	57.690	59.917	62.143	64.370	66.596	68.823	71.050	73.276
159	55.513	57.742	59.970	62.199	64.428	66.656	68.885	71.113	73.342
160	55.565	57.795	60.025	62.255	64.485	66.715	68.945	71.175	73.405
161	55.617	57.849	60.080	62.311	64.542	66.773	69.005	71.236	73.467
162	55.666	57.900	60.133	62.366	64.599	66.832	69.065	71.299	73.532
163	55.718	57.952	60.187	62.421	64.656	66.890	69.125	71.359	73.594
164	55.767	58.003	60.239	62.476	64.712	66.949	69.185	71.422	73.658
165	55.818	58.056	60.293	62.531	64.769	67.007	69.244	71.482	73.720
166	55.866	58.106	60.345	62.585	64.825	67.065	69.304	71.544	73.784
167	55.917	58.158	60.399	62.640	64.881	67.122	69.363	71.604	73.845
168	55.965	58.208	60.451	62.694	64.937	67.180	69.422	71.665	73.908
169	56.015	58.260	60.504	62.748	64.992	67.236	69.480	71.725	73.969
170	56.063	58.309	60.555	62.801	65.047	67.293	69.540	71.786	74.032
171	56.111	58.359	60.607	62.855	65.103	67.351	69.599	71.847	74.095
172	56.161	58.410	60.659	62.908	65.158	67.407	69.656	71.905	74.155
173	56.208	58.459	60.710	62.961	65.212	67.463	69.715	71.966	74.217
174	56.258	58.510	60.762	63.015	65.267	67.519	69.772	72.024	74.276
175	56.304	58.559	60.813	63.067	65.321	67.576	69.830	72.084	74.338
176	56.354	58.609	60.865	63.120	65.376	67.631	69.887	72.142	74.398
177	56.400	58.658	60.915	63.172	65.430	67.687	69.944	72.202	74.459
178	56.447	58.706	60.965	63.225	65.484	67.743	70.002	72.261	74.520
179	56.496	58.756	61.017	63.277	65.538	67.798	70.058	72.319	74.579
180	56.542	58.804	61.067	63.329	65.591	67.853	70.116	72.378	74.640
181	56.588	58.852	61.116	63.380	65.644	67.909	70.173	72.437	74.701
182	56.637	58.902	61.167	63.433	65.698	67.963	70.228	72.494	74.759
183	56.683	58.950	61.217	63.484	65.751	68.018	70.285	72.552	74.819
184	56.731	58.999	61.267	63.536	65.804	68.072	70.341	72.609	74.877
185	56.776	59.047	61.317	63.587	65.857	68.127	70.397	72.667	74.937
186	56.822	59.094	61.366	63.638	65.910	68.181	70.453	72.725	74.997
187	56.867	59.141	61.415	63.688	65.962	68.236	70.510	72.783	75.057
188	56.915	59.190	61.465	63.740	66.014	68.289	70.564	72.839	75.114
189	56.960	59.237	61.513	63.790	66.067	68.343	70.620	72.897	75.173
190	57.005	59.284	61.562	63.840	66.119	68.397	70.676	72.954	75.233
191	57.053	59.332	61.612	63.891	66.171	68.450	70.730	73.010	75.289
192	57.097	59.379	61.660	63.941	66.223	68.504	70.786	73.067	75.348
193	57.142	59.425	61.708	63.991	66.274	68.558	70.841	73.124	75.407
194	57.189	59.473	61.758	64.042	66.326	68.610	70.895	73.179	75.463
195	57.233	59.519	61.806	64.092	66.378	68.664	70.950	73.236	75.522
196	57.278	59.566	61.853	64.141	66.429	68.717	71.005	73.292	75.580
197	57.322	59.611	61.901	64.191	66.480	68.770	71.059	73.349	75.639
198	57.366	59.657	61.949	64.240	66.531	68.823	71.114	73.405	75.697
199	57.413	59.705	61.997	64.290	66.582	68.875	71.167	73.460	75.752
200	57.456	59.751	62.045	64.339	66.633	68.927	71.221	73.516	75.810
201	57.500	59.796	62.092	64.388	66.684	68.980	71.276	73.572	75.868
202	57.544	59.841	62.139	64.437	66.734	69.032	71.330	73.628	75.925
203	57.590	59.889	62.188	64.486	66.785	69.084	71.382	73.681	75.980
204	57.634	59.934	62.234	64.535	66.835	69.136	71.436	73.737	76.037
205	57.677	59.979	62.281	64.583	66.886	69.188	71.490	73.792	76.095
206	57.720	60.024	62.328	64.632	66.936	69.240	71.544	73.848	76.152
207	57.763	60.069	62.375	64.680	66.986	69.292	71.597	73.903	76.209
208	57.806	60.114	62.421	64.729	67.036	69.343	71.651	73.958	76.265
209	57.852	60.161	62.469	64.777	67.086	69.394	71.703	74.011	76.319
210	57.895	60.205	62.515	64.825	67.136	69.446	71.756	74.066	76.376
211	57.938	60.250	62.562	64.873	67.185	69.497	71.809	74.121	76.433
212	57.981	60.294	62.608	64.921	67.235	69.548	71.862	74.175	76.489
213	58.023	60.338	62.654	64.969	67.284	69.599	71.915	74.230	76.545
214	58.066	60.383	62.700	65.017	67.334	69.650	71.967	74.284	76.601
215	58.108	60.427	62.746	65.064	67.383	69.701	72.020	74.339	76.657
216	58.151	60.471	62.791	65.112	67.432	69.752	72.073	74.393	76.713
217	58.196	60.517	62.838	65.160	67.481	69.802	72.124	74.445	76.766
218	58.238	60.561	62.884	65.207	67.530	69.853	72.176	74.499	76.822
219	58.280	60.605	62.929	65.254	67.579	69.904	72.228	74.553	76.878
220	58.322	60.649	62.975	65.301	67.628	69.954	72.280	74.607	76.933
221	58.364	60.692	63.020	65.348	67.676	70.004	72.333	74.661	76.989
222	58.406	60.736	63.066	65.395	67.725	70.055	72.384	74.714	77.044
223	58.448	60.779	63.111	65.442	67.774	70.105	72.436	74.768	77.099
224	58.490	60.823	63.156	65.489	67.822	70.155	72.488	74.821	77.154
225	58.531	60.866	63.201	65.536	67.870	70.205	72.540	74.875	77.209
226	58.573	60.909	63.246	65.582	67.918	70.255	72.591	74.928	77.264
227	58.614	60.953	63.291	65.629	67.967	70.305	72.643	74.981	77.319
228	58.656	60.996	63.335	65.675	68.015	70.355	72.694	75.034	77.374
229	58.697	61.039	63.380	65.721	68.063	70.404	72.746	75.087	77.428
230	58.739	61.082	63.425	65.768	68.111	70.454	72.797	75.140	77.483
231	58.780	61.125	63.469	65.814	68.158	70.503	72.848	75.192	77.537
232	58.821	61.167	63.514	65.860	68.206	70.553	72.899	75.245	77.591
233	58.862	61.210	63.558	65.906	68.254	70.602	72.950	75.298	77.646
234	58.903	61.253	63.602	65.952	68.302	70.651	73.001	75.350	77.700
235	58.944	61.295	63.647	65.998	68.349	70.700	73.052	75.403	77.754
236	58.985	61.338	63.691	66.044	68.396	70.749	73.102	75.455	77.808
237	59.026	61.380	63.735	66.089	68.444	70.798	73.153	75.507	77.862
238	59.067	61.423	63.779	66.135	68.491	70.847	73.203	75.559	77.915
239	59.107	61.465	63.823	66.181	68.538	70.896	73.254	75.611	77.969
